FIPS Code,State,Area name,Attribute,Value,Year
1000,AL,Alabama,Percent of adults completing some college or associate degree,29.02286617,8-12
1000,AL,Alabama,Percent of adults with a bachelor's degree or higher,22.26489567,8-12
1000,AL,Alabama,Less than high school graduate,409381,9-23
1000,AL,Alabama,High school graduate (or equivalency),1046374,9-23
1000,AL,Alabama,Some college or associate degree,1035466,9-23
1000,AL,Alabama,Bachelor's degree or higher,957081,9-23
1000,AL,Alabama,Percent of adults who are not high school graduates,11.87195901,9-23
1000,AL,Alabama,Percent of adults who are high school graduates (or equivalent),30.34461599,9-23
1000,AL,Alabama,Percent of adults completing some college or associate degree,30.02828639,9-23
1000,AL,Alabama,Percent of adults with a bachelor's degree or higher,27.75513862,9-23
2000,AK,Alaska,Less than a high school diploma,44994,1970
2000,AK,Alaska,High school diploma only,50820,1970
2000,AK,Alaska,Some college (1-3 years),20052,1970
2000,AK,Alaska,Four years of college or higher,19082,1970
2000,AK,Alaska,Percent of adults with less than a high school diploma,33.3,1970
2000,AK,Alaska,Percent of adults with a high school diploma only,37.7,1970
2000,AK,Alaska,Percent of adults completing some college (1-3 years),14.9,1970
2000,AK,Alaska,Percent of adults completing four years of college or higher,14.1,1970
2000,AK,Alaska,Less than a high school diploma,36941,1980
2000,AK,Alaska,High school diploma only,82180,1980
2000,AK,Alaska,Some college (1-3 years),47722,1980
2000,AK,Alaska,Four years of college or higher,44554,1980
2000,AK,Alaska,Percent of adults with less than a high school diploma,17.5,1980
2000,AK,Alaska,Percent of adults with a high school diploma only,38.9,1980
2000,AK,Alaska,Percent of adults completing some college (1-3 years),22.6,1980
2000,AK,Alaska,Percent of adults completing four years of college or higher,21.1,1980
2000,AK,Alaska,Less than high school graduate,43244,1990
2000,AK,Alaska,High school graduate (or equivalency),92925,1990
2000,AK,Alaska,Some college or associate degree,112763,1990
2000,AK,Alaska,Bachelor's degree or higher,74497,1990
2000,AK,Alaska,Percent of adults who are not high school graduates,13.4,1990
2000,AK,Alaska,Percent of adults who are high school graduates (or equivalent),28.7,1990
2000,AK,Alaska,Percent of adults completing some college or associate degree,34.9,1990
2000,AK,Alaska,Percent of adults with a bachelor's degree or higher,23,1990
2000,AK,Alaska,Less than high school graduate,44282,2000
2000,AK,Alaska,High school graduate (or equivalency),105812,2000
2000,AK,Alaska,Some college or associate degree,135655,2000
2000,AK,Alaska,Bachelor's degree or higher,93807,2000
2000,AK,Alaska,Percent of adults who are not high school graduates,11.7,2000
2000,AK,Alaska,Percent of adults who are high school graduates (or equivalent),27.9,2000
2000,AK,Alaska,Percent of adults completing some college or associate degree,35.7,2000
2000,AK,Alaska,Percent of adults with a bachelor's degree or higher,24.7,2000
2000,AK,Alaska,Less than high school graduate,37652,8-12
2000,AK,Alaska,High school graduate (or equivalency),121272,8-12
2000,AK,Alaska,Some college or associate degree,165651,8-12
2000,AK,Alaska,Bachelor's degree or higher,122968,8-12
2000,AK,Alaska,Percent of adults who are not high school graduates,8.413046344,8-12
2000,AK,Alaska,Percent of adults who are high school graduates (or equivalent),27.09728451,8-12
2000,AK,Alaska,Percent of adults completing some college or associate degree,37.01342664,8-12
2000,AK,Alaska,Percent of adults with a bachelor's degree or higher,27.47624251,8-12
2000,AK,Alaska,Less than high school graduate,31854,9-23
2000,AK,Alaska,High school graduate (or equivalency),141206,9-23
2000,AK,Alaska,Some college or associate degree,162411,9-23
2000,AK,Alaska,Bachelor's degree or higher,152432,9-23
2000,AK,Alaska,Percent of adults who are not high school graduates,6.528756741,9-23
2000,AK,Alaska,Percent of adults who are high school graduates (or equivalent),28.94140844,9-23
2000,AK,Alaska,Percent of adults completing some college or associate degree,33.28755921,9-23
2000,AK,Alaska,Percent of adults with a bachelor's degree or higher,31.24227562,9-23
4000,AZ,Arizona,Less than a high school diploma,383873,1970
4000,AZ,Arizona,High school diploma only,289781,1970
4000,AZ,Arizona,Some college (1-3 years),127063,1970
4000,AZ,Arizona,Four years of college or higher,115020,1970
4000,AZ,Arizona,Percent of adults with less than a high school diploma,41.9,1970
4000,AZ,Arizona,Percent of adults with a high school diploma only,31.6,1970
4000,AZ,Arizona,Percent of adults completing some college (1-3 years),13.9,1970
4000,AZ,Arizona,Percent of adults completing four years of college or higher,12.6,1970
4000,AZ,Arizona,Less than a high school diploma,430974,1980
4000,AZ,Arizona,High school diploma only,535096,1980
4000,AZ,Arizona,Some college (1-3 years),321361,1980
4000,AZ,Arizona,Four years of college or higher,271460,1980
4000,AZ,Arizona,Percent of adults with less than a high school diploma,27.6,1980
4000,AZ,Arizona,Percent of adults with a high school diploma only,34.3,1980
4000,AZ,Arizona,Percent of adults completing some college (1-3 years),20.6,1980
4000,AZ,Arizona,Percent of adults completing four years of college or higher,17.4,1980
4000,AZ,Arizona,Less than high school graduate,491080,1990
4000,AZ,Arizona,High school graduate (or equivalency),601440,1990
4000,AZ,Arizona,Some college or associate degree,741784,1990
4000,AZ,Arizona,Bachelor's degree or higher,466873,1990
4000,AZ,Arizona,Percent of adults who are not high school graduates,21.3,1990
4000,AZ,Arizona,Percent of adults who are high school graduates (or equivalent),26.1,1990
4000,AZ,Arizona,Percent of adults completing some college or associate degree,32.2,1990
4000,AZ,Arizona,Percent of adults with a bachelor's degree or higher,20.3,1990
4000,AZ,Arizona,Less than high school graduate,619547,2000
4000,AZ,Arizona,High school graduate (or equivalency),791904,2000
4000,AZ,Arizona,Some college or associate degree,1078521,2000
4000,AZ,Arizona,Bachelor's degree or higher,766212,2000
4000,AZ,Arizona,Percent of adults who are not high school graduates,19,2000
4000,AZ,Arizona,Percent of adults who are high school graduates (or equivalent),24.3,2000
4000,AZ,Arizona,Percent of adults completing some college or associate degree,33.1,2000
4000,AZ,Arizona,Percent of adults with a bachelor's degree or higher,23.5,2000
4000,AZ,Arizona,Less than high school graduate,604136,8-12
4000,AZ,Arizona,High school graduate (or equivalency),1012503,8-12
4000,AZ,Arizona,Some college or associate degree,1428213,8-12
4000,AZ,Arizona,Bachelor's degree or higher,1105103,8-12
4000,AZ,Arizona,Percent of adults who are not high school graduates,14.55765183,8-12
4000,AZ,Arizona,Percent of adults who are high school graduates (or equivalent),24.39792721,8-12
4000,AZ,Arizona,Percent of adults completing some college or associate degree,34.41514426,8-12
4000,AZ,Arizona,Percent of adults with a bachelor's degree or higher,26.6292767,8-12
4000,AZ,Arizona,Less than high school graduate,544528,9-23
4000,AZ,Arizona,High school graduate (or equivalency),1171693,9-23
4000,AZ,Arizona,Some college or associate degree,1646950,9-23
4000,AZ,Arizona,Bachelor's degree or higher,1627462,9-23
4000,AZ,Arizona,Percent of adults who are not high school graduates,10.91100067,9-23
4000,AZ,Arizona,Percent of adults who are high school graduates (or equivalent),23.47784339,9-23
4000,AZ,Arizona,Percent of adults completing some college or associate degree,33.00082374,9-23
4000,AZ,Arizona,Percent of adults with a bachelor's degree or higher,32.6103322,9-23
5000,AR,Arkansas,Less than a high school diploma,635149,1970
5000,AR,Arkansas,High school diploma only,271150,1970
5000,AR,Arkansas,Some college (1-3 years),80835,1970
5000,AR,Arkansas,Four years of college or higher,70378,1970
5000,AR,Arkansas,Percent of adults with less than a high school diploma,60.1,1970
5000,AR,Arkansas,Percent of adults with a high school diploma only,25.6,1970
5000,AR,Arkansas,Percent of adults completing some college (1-3 years),7.6,1970
5000,AR,Arkansas,Percent of adults completing four years of college or higher,6.7,1970
5000,AR,Arkansas,Less than a high school diploma,595637,1980
5000,AR,Arkansas,High school diploma only,443429,1980
5000,AR,Arkansas,Some college (1-3 years),153375,1980
5000,AR,Arkansas,Four years of college or higher,144677,1980
5000,AR,Arkansas,Percent of adults with less than a high school diploma,44.5,1980
5000,AR,Arkansas,Percent of adults with a high school diploma only,33.2,1980
5000,AR,Arkansas,Percent of adults completing some college (1-3 years),11.5,1980
5000,AR,Arkansas,Percent of adults completing four years of college or higher,10.8,1980
5000,AR,Arkansas,Less than high school graduate,503481,1990
5000,AR,Arkansas,High school graduate (or equivalency),489570,1990
5000,AR,Arkansas,Some college or associate degree,303795,1990
5000,AR,Arkansas,Bachelor's degree or higher,199304,1990
5000,AR,Arkansas,Percent of adults who are not high school graduates,33.7,1990
5000,AR,Arkansas,Percent of adults who are high school graduates (or equivalent),32.7,1990
5000,AR,Arkansas,Percent of adults completing some college or associate degree,20.3,1990
5000,AR,Arkansas,Percent of adults with a bachelor's degree or higher,13.3,1990
5000,AR,Arkansas,Less than high school graduate,427449,2000
5000,AR,Arkansas,High school graduate (or equivalency),590416,2000
5000,AR,Arkansas,Some college or associate degree,424907,2000
5000,AR,Arkansas,Bachelor's degree or higher,288428,2000
5000,AR,Arkansas,Percent of adults who are not high school graduates,24.7,2000
5000,AR,Arkansas,Percent of adults who are high school graduates (or equivalent),34.1,2000
5000,AR,Arkansas,Percent of adults completing some college or associate degree,24.5,2000
5000,AR,Arkansas,Percent of adults with a bachelor's degree or higher,16.7,2000
5000,AR,Arkansas,Less than high school graduate,320693,8-12
5000,AR,Arkansas,High school graduate (or equivalency),674742,8-12
5000,AR,Arkansas,Some college or associate degree,545270,8-12
5000,AR,Arkansas,Bachelor's degree or higher,380334,8-12
5000,AR,Arkansas,Percent of adults who are not high school graduates,16.69372668,8-12
5000,AR,Arkansas,Percent of adults who are high school graduates (or equivalent),35.1238054,8-12
5000,AR,Arkansas,Percent of adults completing some college or associate degree,28.38411922,8-12
5000,AR,Arkansas,Percent of adults with a bachelor's degree or higher,19.79834871,8-12
5000,AR,Arkansas,Less than high school graduate,233857,9-23
5000,AR,Arkansas,High school graduate (or equivalency),702778,9-23
5000,AR,Arkansas,Some college or associate degree,593923,9-23
5000,AR,Arkansas,Bachelor's degree or higher,513221,9-23
5000,AR,Arkansas,Percent of adults who are not high school graduates,11.44238198,9-23
5000,AR,Arkansas,Percent of adults who are high school graduates (or equivalent),34.3862032,9-23
5000,AR,Arkansas,Percent of adults completing some college or associate degree,29.06004025,9-23
5000,AR,Arkansas,Percent of adults with a bachelor's degree or higher,25.11137457,9-23
6000,CA,California,Less than a high school diploma,4062367,1970
6000,CA,California,High school diploma only,3566578,1970
6000,CA,California,Some college (1-3 years),1784772,1970
6000,CA,California,Four years of college or higher,1462266,1970
6000,CA,California,Percent of adults with less than a high school diploma,37.4,1970
6000,CA,California,Percent of adults with a high school diploma only,32.8,1970
6000,CA,California,Percent of adults completing some college (1-3 years),16.4,1970
6000,CA,California,Percent of adults completing four years of college or higher,13.4,1970
6000,CA,California,Less than a high school diploma,3724736,1980
6000,CA,California,High school diploma only,4415732,1980
6000,CA,California,Some college (1-3 years),3150653,1980
6000,CA,California,Four years of college or higher,2752865,1980
6000,CA,California,Percent of adults with less than a high school diploma,26.5,1980
6000,CA,California,Percent of adults with a high school diploma only,31.4,1980
6000,CA,California,Percent of adults completing some college (1-3 years),22.4,1980
6000,CA,California,Percent of adults completing four years of college or higher,19.6,1980
6000,CA,California,Less than high school graduate,4450528,1990
6000,CA,California,High school graduate (or equivalency),4167897,1990
6000,CA,California,Some college or associate degree,5710400,1990
6000,CA,California,Bachelor's degree or higher,4366674,1990
6000,CA,California,Percent of adults who are not high school graduates,23.8,1990
6000,CA,California,Percent of adults who are high school graduates (or equivalent),22.3,1990
6000,CA,California,Percent of adults completing some college or associate degree,30.5,1990
6000,CA,California,Percent of adults with a bachelor's degree or higher,23.4,1990
6000,CA,California,Less than high school graduate,4942743,2000
6000,CA,California,High school graduate (or equivalency),4288452,2000
6000,CA,California,Some college or associate degree,6397739,2000
6000,CA,California,Bachelor's degree or higher,5669966,2000
6000,CA,California,Percent of adults who are not high school graduates,23.2,2000
6000,CA,California,Percent of adults who are high school graduates (or equivalent),20.1,2000
6000,CA,California,Percent of adults completing some college or associate degree,30,2000
6000,CA,California,Percent of adults with a bachelor's degree or higher,26.6,2000
6000,CA,California,Less than high school graduate,4577493,8-12
6000,CA,California,High school graduate (or equivalency),4988559,8-12
6000,CA,California,Some college or associate degree,7206710,8-12
6000,CA,California,Bachelor's degree or higher,7344555,8-12
6000,CA,California,Percent of adults who are not high school graduates,18.98010877,8-12
6000,CA,California,Percent of adults who are high school graduates (or equivalent),20.6845521,8-12
6000,CA,California,Percent of adults completing some college or associate degree,29.88188943,8-12
6000,CA,California,Percent of adults with a bachelor's degree or higher,30.45344969,8-12
6000,CA,California,Less than high school graduate,4149146,9-23
6000,CA,California,High school graduate (or equivalency),5496195,9-23
6000,CA,California,Some college or associate degree,7461496,9-23
6000,CA,California,Bachelor's degree or higher,9834361,9-23
6000,CA,California,Percent of adults who are not high school graduates,15.40074795,9-23
6000,CA,California,Percent of adults who are high school graduates (or equivalent),20.4007075,9-23
6000,CA,California,Percent of adults completing some college or associate degree,27.69548704,9-23
6000,CA,California,Percent of adults with a bachelor's degree or higher,36.50305751,9-23
8000,CO,Colorado,Less than a high school diploma,411837,1970
8000,CO,Colorado,High school diploma only,392787,1970
8000,CO,Colorado,Some college (1-3 years),166188,1970
8000,CO,Colorado,Four years of college or higher,170326,1970
8000,CO,Colorado,Percent of adults with less than a high school diploma,36.1,1970
8000,CO,Colorado,Percent of adults with a high school diploma only,34.4,1970
8000,CO,Colorado,Percent of adults completing some college (1-3 years),14.6,1970
8000,CO,Colorado,Percent of adults completing four years of college or higher,14.9,1970
8000,CO,Colorado,Less than a high school diploma,355405,1980
8000,CO,Colorado,High school diploma only,575365,1980
8000,CO,Colorado,Some college (1-3 years),351108,1980
8000,CO,Colorado,Four years of college or higher,382013,1980
8000,CO,Colorado,Percent of adults with less than a high school diploma,21.4,1980
8000,CO,Colorado,Percent of adults with a high school diploma only,34.6,1980
8000,CO,Colorado,Percent of adults completing some college (1-3 years),21.1,1980
8000,CO,Colorado,Percent of adults completing four years of college or higher,23,1980
8000,CO,Colorado,Less than high school graduate,328056,1990
8000,CO,Colorado,High school graduate (or equivalency),558312,1990
8000,CO,Colorado,Some college or associate degree,652448,1990
8000,CO,Colorado,Bachelor's degree or higher,568256,1990
8000,CO,Colorado,Percent of adults who are not high school graduates,15.6,1990
8000,CO,Colorado,Percent of adults who are high school graduates (or equivalent),26.5,1990
8000,CO,Colorado,Percent of adults completing some college or associate degree,31,1990
8000,CO,Colorado,Percent of adults with a bachelor's degree or higher,27,1990
8000,CO,Colorado,Less than high school graduate,363039,2000
8000,CO,Colorado,High school graduate (or equivalency),644360,2000
8000,CO,Colorado,Some college or associate degree,861478,2000
8000,CO,Colorado,Bachelor's degree or higher,907755,2000
8000,CO,Colorado,Percent of adults who are not high school graduates,13.1,2000
8000,CO,Colorado,Percent of adults who are high school graduates (or equivalent),23.2,2000
8000,CO,Colorado,Percent of adults completing some college or associate degree,31,2000
8000,CO,Colorado,Percent of adults with a bachelor's degree or higher,32.7,2000
8000,CO,Colorado,Less than high school graduate,335459,8-12
8000,CO,Colorado,High school graduate (or equivalency),744320,8-12
8000,CO,Colorado,Some college or associate degree,1028184,8-12
8000,CO,Colorado,Bachelor's degree or higher,1220906,8-12
8000,CO,Colorado,Percent of adults who are not high school graduates,10.07726648,8-12
8000,CO,Colorado,Percent of adults who are high school graduates (or equivalent),22.35954614,8-12
8000,CO,Colorado,Percent of adults completing some college or associate degree,30.88688681,8-12
8000,CO,Colorado,Percent of adults with a bachelor's degree or higher,36.67630057,8-12
8000,CO,Colorado,Less than high school graduate,292446,9-23
8000,CO,Colorado,High school graduate (or equivalency),811023,9-23
8000,CO,Colorado,Some college or associate degree,1128710,9-23
8000,CO,Colorado,Bachelor's degree or higher,1806355,9-23
8000,CO,Colorado,Percent of adults who are not high school graduates,7.241390069,9-23
8000,CO,Colorado,Percent of adults who are high school graduates (or equivalent),20.08211396,9-23
8000,CO,Colorado,Percent of adults completing some college or associate degree,27.94850805,9-23
8000,CO,Colorado,Percent of adults with a bachelor's degree or higher,44.72798793,9-23
9000,CT,Connecticut,Less than a high school diploma,740830,1970
9000,CT,Connecticut,High school diploma only,534830,1970
9000,CT,Connecticut,Some college (1-3 years),179635,1970
9000,CT,Connecticut,Four years of college or higher,230303,1970
9000,CT,Connecticut,Percent of adults with less than a high school diploma,44,1970
9000,CT,Connecticut,Percent of adults with a high school diploma only,31.7,1970
9000,CT,Connecticut,Percent of adults completing some college (1-3 years),10.7,1970
9000,CT,Connecticut,Percent of adults completing four years of college or higher,13.7,1970
9000,CT,Connecticut,Less than a high school diploma,563760,1980
9000,CT,Connecticut,High school diploma only,653884,1980
9000,CT,Connecticut,Some college (1-3 years),289956,1980
9000,CT,Connecticut,Four years of college or higher,392564,1980
9000,CT,Connecticut,Percent of adults with less than a high school diploma,29.7,1980
9000,CT,Connecticut,Percent of adults with a high school diploma only,34.4,1980
9000,CT,Connecticut,Percent of adults completing some college (1-3 years),15.3,1980
9000,CT,Connecticut,Percent of adults completing four years of college or higher,20.7,1980
9000,CT,Connecticut,Less than high school graduate,457208,1990
9000,CT,Connecticut,High school graduate (or equivalency),648366,1990
9000,CT,Connecticut,Some college or associate degree,495696,1990
9000,CT,Connecticut,Bachelor's degree or higher,597693,1990
9000,CT,Connecticut,Percent of adults who are not high school graduates,20.8,1990
9000,CT,Connecticut,Percent of adults who are high school graduates (or equivalent),29.5,1990
9000,CT,Connecticut,Percent of adults completing some college or associate degree,22.5,1990
9000,CT,Connecticut,Percent of adults with a bachelor's degree or higher,27.2,1990
9000,CT,Connecticut,Less than high school graduate,367656,2000
9000,CT,Connecticut,High school graduate (or equivalency),653300,2000
9000,CT,Connecticut,Some college or associate degree,553667,2000
9000,CT,Connecticut,Bachelor's degree or higher,720994,2000
9000,CT,Connecticut,Percent of adults who are not high school graduates,16,2000
9000,CT,Connecticut,Percent of adults who are high school graduates (or equivalent),28.5,2000
9000,CT,Connecticut,Percent of adults completing some college or associate degree,24.1,2000
9000,CT,Connecticut,Percent of adults with a bachelor's degree or higher,31.4,2000
9000,CT,Connecticut,Less than high school graduate,268454,8-12
9000,CT,Connecticut,High school graduate (or equivalency),677253,8-12
9000,CT,Connecticut,Some college or associate degree,606544,8-12
9000,CT,Connecticut,Bachelor's degree or higher,879089,8-12
9000,CT,Connecticut,Percent of adults who are not high school graduates,11.04140104,8-12
9000,CT,Connecticut,Percent of adults who are high school graduates (or equivalent),27.85513338,8-12
9000,CT,Connecticut,Percent of adults completing some college or associate degree,24.94690171,8-12
9000,CT,Connecticut,Percent of adults with a bachelor's degree or higher,36.15656387,8-12
9000,CT,Connecticut,Less than high school graduate,219549,9-23
9000,CT,Connecticut,High school graduate (or equivalency),647094,9-23
9000,CT,Connecticut,Some college or associate degree,603807,9-23
9000,CT,Connecticut,Bachelor's degree or higher,1062403,9-23
9000,CT,Connecticut,Percent of adults who are not high school graduates,8.668051403,9-23
9000,CT,Connecticut,Percent of adults who are high school graduates (or equivalent),25.54802825,9-23
9000,CT,Connecticut,Percent of adults completing some college or associate degree,23.83900684,9-23
9000,CT,Connecticut,Percent of adults with a bachelor's degree or higher,41.9449135,9-23
10000,DE,Delaware,Less than a high school diploma,130463,1970
10000,DE,Delaware,High school diploma only,91211,1970
10000,DE,Delaware,Some college (1-3 years),28091,1970
10000,DE,Delaware,Four years of college or higher,37630,1970
10000,DE,Delaware,Percent of adults with less than a high school diploma,45.4,1970
10000,DE,Delaware,Percent of adults with a high school diploma only,31.7,1970
10000,DE,Delaware,Percent of adults completing some college (1-3 years),9.8,1970
10000,DE,Delaware,Percent of adults completing four years of college or higher,13.1,1970
10000,DE,Delaware,Less than a high school diploma,108063,1980
10000,DE,Delaware,High school diploma only,124798,1980
10000,DE,Delaware,Some college (1-3 years),51590,1980
10000,DE,Delaware,Four years of college or higher,60206,1980
10000,DE,Delaware,Percent of adults with less than a high school diploma,31.4,1980
10000,DE,Delaware,Percent of adults with a high school diploma only,36.2,1980
10000,DE,Delaware,Percent of adults completing some college (1-3 years),15,1980
10000,DE,Delaware,Percent of adults completing four years of college or higher,17.5,1980
10000,DE,Delaware,Less than high school graduate,96472,1990
10000,DE,Delaware,High school graduate (or equivalency),140030,1990
10000,DE,Delaware,Some college or associate degree,100275,1990
10000,DE,Delaware,Bachelor's degree or higher,91722,1990
10000,DE,Delaware,Percent of adults who are not high school graduates,22.5,1990
10000,DE,Delaware,Percent of adults who are high school graduates (or equivalent),32.7,1990
10000,DE,Delaware,Percent of adults completing some college or associate degree,23.4,1990
10000,DE,Delaware,Percent of adults with a bachelor's degree or higher,21.4,1990
10000,DE,Delaware,Less than high school graduate,89536,2000
10000,DE,Delaware,High school graduate (or equivalency),161760,2000
10000,DE,Delaware,Some college or associate degree,134445,2000
10000,DE,Delaware,Bachelor's degree or higher,128917,2000
10000,DE,Delaware,Percent of adults who are not high school graduates,17.4,2000
10000,DE,Delaware,Percent of adults who are high school graduates (or equivalent),31.4,2000
10000,DE,Delaware,Percent of adults completing some college or associate degree,26.1,2000
10000,DE,Delaware,Percent of adults with a bachelor's degree or higher,25,2000
10000,DE,Delaware,Less than high school graduate,74349,8-12
10000,DE,Delaware,High school graduate (or equivalency),190866,8-12
10000,DE,Delaware,Some college or associate degree,166032,8-12
10000,DE,Delaware,Bachelor's degree or higher,172084,8-12
10000,DE,Delaware,Percent of adults who are not high school graduates,12.32308633,8-12
10000,DE,Delaware,Percent of adults who are high school graduates (or equivalent),31.63537097,8-12
10000,DE,Delaware,Percent of adults completing some college or associate degree,27.51922245,8-12
10000,DE,Delaware,Percent of adults with a bachelor's degree or higher,28.52232025,8-12
10000,DE,Delaware,Less than high school graduate,61144,9-23
10000,DE,Delaware,High school graduate (or equivalency),206192,9-23
10000,DE,Delaware,Some college or associate degree,192480,9-23
10000,DE,Delaware,Bachelor's degree or higher,250626,9-23
10000,DE,Delaware,Percent of adults who are not high school graduates,8.606473153,9-23
10000,DE,Delaware,Percent of adults who are high school graduates (or equivalent),29.02305888,9-23
10000,DE,Delaware,Percent of adults completing some college or associate degree,27.09299281,9-23
10000,DE,Delaware,Percent of adults with a bachelor's degree or higher,35.27747515,9-23
12000,FL,Florida,Less than a high school diploma,1882537,1970
12000,FL,Florida,High school diploma only,1219216,1970
12000,FL,Florida,Some college (1-3 years),458864,1970
12000,FL,Florida,Four years of college or higher,407264,1970
12000,FL,Florida,Percent of adults with less than a high school diploma,47.4,1970
12000,FL,Florida,Percent of adults with a high school diploma only,30.7,1970
12000,FL,Florida,Percent of adults completing some college (1-3 years),11.6,1970
12000,FL,Florida,Percent of adults completing four years of college or higher,10.3,1970
12000,FL,Florida,Less than a high school diploma,2082948,1980
12000,FL,Florida,High school diploma only,2189572,1980
12000,FL,Florida,Some college (1-3 years),1047471,1980
12000,FL,Florida,Four years of college or higher,930134,1980
12000,FL,Florida,Percent of adults with less than a high school diploma,33.3,1980
12000,FL,Florida,Percent of adults with a high school diploma only,35,1980
