County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)","Average Annual Count",Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Greenville County, South Carolina(6)",45045,Urban,44.2 ,41.8, 46.7,N/A , N/A , N/A,270,rising,2.7 ,1.7, 3.8
"Hamilton County, Nebraska(6)",31081,Rural,44 ,26.8, 68.1,N/A , N/A , N/A,4,*,*,*,*
"Menard County, Illinois(7)",17129,Urban,43.9 ,30.2, 62.3,N/A , N/A , N/A,7,*,*,*,*
"Stevens County, Minnesota(6)",27149,Rural,43.8 ,25.7, 69.3,N/A , N/A , N/A,4,*,*,*,*
"Grundy County, Iowa(7)",19075,Urban,43.8 ,29.9, 62.2,N/A , N/A , N/A,7,*,*,*,*
"Churchill County, Nevada(6)",32001,Rural,43.7 ,33.6, 56,N/A , N/A , N/A,14,rising,4.9 ,1.7, 9.2
"Washoe County, Nevada(6)",32031,Urban,43.5 ,41, 46.1,N/A , N/A , N/A,249,stable,3.0 ,-3.9, 12.1
"Dakota County, Minnesota(6)",27037,Urban,43.4 ,40.7, 46.1,N/A , N/A , N/A,214,rising,5.9 ,5.1, 7.0
"Becker County, Minnesota(6)",27005,Rural,43.3 ,34.6, 53.6,N/A , N/A , N/A,20,rising,5.5 ,2.0, 10.5
"Botetourt County, Virginia(6)",51023,Urban,43.3 ,34.8, 53.4,N/A , N/A , N/A,21,rising,3.2 ,0.2, 7.2
"Watauga County, North Carolina(6)",37189,Rural,43.1 ,35.4, 52.1,N/A , N/A , N/A,25,rising,5.1 ,2.8, 7.9
"Benton County, Iowa(7)",19011,Urban,43.1 ,33.4, 55,N/A , N/A , N/A,15,*,*,*,*
"Dubuque County, Iowa(7)",19061,Urban,43.1 ,37.6, 49.2,N/A , N/A , N/A,49,rising,4.9 ,4.0, 6.3
"Dare County, North Carolina(6)",37055,Rural,42.9 ,34.6, 52.8,N/A , N/A , N/A,22,rising,4.9 ,1.9, 9.0
"Leelanau County, Michigan(6)",26089,Urban,42.7 ,32.5, 55.7,N/A , N/A , N/A,17,stable,-1.4 ,-12.8, 6.2
"Pike County, Georgia(7)",13231,Urban,42.7 ,30.9, 57.7,N/A , N/A , N/A,9,rising,7.1 ,3.3, 13.2
"Grand Isle County, Vermont(6)",50013,Urban,42.6 ,25.1, 68.9,N/A , N/A , N/A,4,*,*,*,*
"Cass County, North Dakota(6)",38017,Urban,42.6 ,38.3, 47.3,N/A , N/A , N/A,74,rising,5.6 ,3.8, 8.0
"Martin County, Minnesota(6)",27091,Rural,42.5 ,31.1, 56.8,N/A , N/A , N/A,11,stable,2.8 ,-1.0, 7.2
"Floyd County, Iowa(7)",19067,Rural,42.4 ,29.6, 58.9,N/A , N/A , N/A,9,rising,4.5 ,2.9, 6.4
"Redwood County, Minnesota(6)",27127,Rural,42.2 ,29.6, 58.5,N/A , N/A , N/A,8,*,*,*,*
"Sonoma County, California(7)",06097,Urban,42.2 ,39.9, 44.6,N/A , N/A , N/A,283,stable,-1.1 ,-9.2, 3.1
"Nassau County, Florida(6)",12089,Urban,42.2 ,37.1, 47.9,N/A , N/A , N/A,56,rising,4.1 ,2.3, 6.6
"Barnes County, North Dakota(6)",38003,Rural,42.1 ,26.6, 63.4,N/A , N/A , N/A,5,*,*,*,*
"Bureau County, Illinois(7)",17011,Rural,42 ,33.3, 52.5,N/A , N/A , N/A,19,rising,4.7 ,1.9, 8.2
"Avery County, North Carolina(6)",37011,Rural,42 ,31.4, 55.7,N/A , N/A , N/A,11,rising,5.2 ,1.0, 11.1
"Wilkin County, Minnesota(6)",27167,Rural,42 ,24.1, 68.9,N/A , N/A , N/A,4,*,*,*,*
"Cherokee County, Georgia(7)",13057,Urban,41.9 ,38.6, 45.5,N/A , N/A , N/A,122,stable,-3.8 ,-11.3, 0.1
"Lincoln County, South Dakota(6)",46083,Urban,41.8 ,35, 49.6,N/A , N/A , N/A,27,rising,10.2 ,6.6, 20.8
"Green County, Kentucky(7)",21087,Rural,41.8 ,27.1, 61.8,N/A , N/A , N/A,6,*,*,*,*
"Shelby County, Illinois(7)",17173,Rural,41.8 ,30.8, 55.4,N/A , N/A , N/A,12,rising,7.0 ,3.4, 12.4
"Gallatin County, Montana(6)",30031,Urban,41.7 ,36.5, 47.6,N/A , N/A , N/A,48,rising,5.5 ,3.3, 8.5
"Kent County, Maryland(6)",24029,Rural,41.7 ,30.7, 55.8,N/A , N/A , N/A,12,stable,3.2 ,-2.5, 10.2
"Virginia Beach City, Virginia(6)",51810,Urban,41.6 ,39.1, 44.2,N/A , N/A , N/A,210,rising,3.3 ,1.8, 5.2
"Los Alamos County, New Mexico(7)",35028,Rural,41.6 ,30.7, 55.4,N/A , N/A , N/A,10,stable,2.0 ,0.0, 4.4
"Antrim County, Michigan(6)",26009,Rural,41.5 ,30.9, 54.7,N/A , N/A , N/A,14,stable,2.2 ,-1.2, 5.8
"Mercer County, Illinois(7)",17131,Urban,41.5 ,29, 57.6,N/A , N/A , N/A,8,stable,3.8 ,-0.8, 9.2
"Carroll County, Maryland(6)",24013,Urban,41.4 ,37.5, 45.7,N/A , N/A , N/A,88,stable,-6.3 ,-15.1, 2.5
"Storey County, Nevada(6)",32029,Urban,41.4 ,22.7, 78,N/A , N/A , N/A,4,*,*,*,*
"Archer County, Texas(7)",48009,Urban,41.3 ,25.3, 64.3,N/A , N/A , N/A,5,*,*,*,*
"Douglas County, Illinois(7)",17041,Rural,41.3 ,30.7, 54.7,N/A , N/A , N/A,11,*,*,*,*
"Alexander County, North Carolina(6)",37003,Urban,41.2 ,33.2, 50.7,N/A , N/A , N/A,20,rising,4.2 ,0.9, 8.5
"Valley County, Idaho(7)",16085,Rural,41.1 ,27.8, 59.6,N/A , N/A , N/A,8,*,*,*,*
"Calvert County, Maryland(6)",24009,Urban,41.1 ,35.7, 47.1,N/A , N/A , N/A,45,stable,1.3 ,-0.9, 4.0
"Warren County, Ohio(6)",39165,Urban,41 ,37.6, 44.7,N/A , N/A , N/A,112,rising,4.4 ,3.0, 6.1
"Kandiyohi County, Minnesota(6)",27067,Rural,41 ,33, 50.4,N/A , N/A , N/A,21,rising,5.0 ,2.7, 7.8
"Carson City, Nevada(6)",32510,Urban,41 ,34.7, 48.1,N/A , N/A , N/A,33,rising,17.1 ,7.0, 38.9
"Middlesex County, Virginia(6)",51119,Rural,41 ,27.5, 60.1,N/A , N/A , N/A,9,*,*,*,*
"Moore County, North Carolina(6)",37125,Urban,40.9 ,36.2, 46.2,N/A , N/A , N/A,62,rising,2.1 ,0.6, 3.9
"Ashe County, North Carolina(6)",37009,Rural,40.8 ,31.2, 52.6,N/A , N/A , N/A,15,*,*,*,*
"Lewis and Clark County, Montana(6)",30049,Urban,40.8 ,34.7, 47.7,N/A , N/A , N/A,36,rising,7.3 ,4.3, 11.9
"Blue Earth County, Minnesota(6)",27013,Urban,40.8 ,34, 48.5,N/A , N/A , N/A,28,falling,-12.8 ,-27.5, -5.1
"Chaffee County, Colorado(6)",08015,Rural,40.7 ,29.8, 54.7,N/A , N/A , N/A,12,stable,-3.4 ,-29.3, 3.6
"Haralson County, Georgia(7)",13143,Urban,40.7 ,31.5, 51.8,N/A , N/A , N/A,14,rising,3.5 ,0.5, 7.3
"Carbon County, Montana(6)",30009,Urban,40.7 ,26.1, 61.2,N/A , N/A , N/A,6,stable,-0.1 ,-4.6, 5.0
"Buffalo County, Nebraska(6)",31019,Rural,40.6 ,33.2, 49.3,N/A , N/A , N/A,22,rising,14.3 ,10.6, 23.2
"Northumberland County, Virginia(6)",51133,Rural,40.5 ,27.6, 58.8,N/A , N/A , N/A,9,rising,4.5 ,0.1, 10.1
"Placer County, California(7)",06061,Urban,40.4 ,38, 43,N/A , N/A , N/A,216,rising,2.0 ,1.1, 3.1
"Ouray County, Colorado(6)",08091,Rural,40.3 ,22.5, 71.9,N/A , N/A , N/A,4,*,*,*,*
"New Kent County, Virginia(6)",51127,Urban,40.3 ,29.9, 53.3,N/A , N/A , N/A,12,stable,3.3 ,-0.2, 8.7
"Itasca County, Minnesota(6)",27061,Rural,40.2 ,32.4, 49.4,N/A , N/A , N/A,22,rising,6.3 ,3.2, 10.1
"Madison County, North Carolina(6)",37115,Urban,40.2 ,30, 53.1,N/A , N/A , N/A,12,*,*,*,*
"Isle of Wight County, Virginia(6)",51093,Urban,40.2 ,32.3, 49.5,N/A , N/A , N/A,20,rising,2.3 ,0.2, 4.8
"Taylor County, Kentucky(7)",21217,Rural,40.1 ,30.1, 52.4,N/A , N/A , N/A,12,rising,4.4 ,0.2, 9.7
"Clinton County, Iowa(7)",19045,Rural,40.1 ,32.7, 48.7,N/A , N/A , N/A,23,rising,3.0 ,1.9, 4.5
"Wadena County, Minnesota(6)",27159,Rural,40 ,27.6, 56.5,N/A , N/A , N/A,7,rising,3.5 ,0.4, 7.3
"Bennington County, Vermont(6)",50003,Rural,40 ,32.4, 49.1,N/A , N/A , N/A,22,stable,-2.0 ,-5.1, 1.2
"Kearney County, Nebraska(6)",31099,Rural,40 ,22.5, 66.5,N/A , N/A , N/A,3,*,*,*,*
"Jackson County, Minnesota(6)",27063,Rural,40 ,24.8, 61.4,N/A , N/A , N/A,5,*,*,*,*
"Northampton County, Virginia(6)",51131,Rural,39.9 ,27.3, 57.3,N/A , N/A , N/A,8,rising,12.0 ,5.6, 26.3
"Grand Traverse County, Michigan(6)",26055,Urban,39.9 ,34.8, 45.6,N/A , N/A , N/A,49,stable,1.3 ,-1.2, 4.1
"Carroll County, Kentucky(7)",21041,Rural,39.9 ,24.9, 60.8,N/A , N/A , N/A,5,rising,23.1 ,0.8, 42.8
"Clinton County, Kentucky(7)",21053,Rural,39.9 ,25.3, 60.7,N/A , N/A , N/A,5,*,*,*,*
"Gloucester County, Virginia(6)",51073,Urban,39.8 ,32.3, 48.8,N/A , N/A , N/A,22,rising,4.8 ,2.5, 8.0
"McCracken County, Kentucky(7)",21145,Urban,39.7 ,33.8, 46.5,N/A , N/A , N/A,35,rising,20.8 ,3.2, 40.3
"Geneva County, Alabama(6)",01061,Urban,39.7 ,30.1, 51.6,N/A , N/A , N/A,13,rising,3.6 ,0.9, 6.7
"Allamakee County, Iowa(7)",19005,Rural,39.7 ,27.8, 55.4,N/A , N/A , N/A,9,*,*,*,*
"Union County, South Dakota(6)",46127,Urban,39.6 ,27.7, 55.1,N/A , N/A , N/A,8,*,*,*,*
"Harford County, Maryland(6)",24025,Urban,39.6 ,36.4, 42.9,N/A , N/A , N/A,126,rising,2.6 ,1.7, 3.6
"York County, Virginia(6)",51199,Urban,39.6 ,33.6, 46.3,N/A , N/A , N/A,33,stable,2.4 ,-0.4, 6.0
"Martin County, Florida(6)",12085,Urban,39.5 ,36, 43.4,N/A , N/A , N/A,119,stable,-3.4 ,-11.4, 3.7
"Jasper County, Georgia(7)",13159,Urban,39.4 ,27.2, 55.7,N/A , N/A , N/A,7,*,*,*,*
"Brunswick County, North Carolina(6)",37019,Urban,39.4 ,35.4, 43.8,N/A , N/A , N/A,99,rising,8.0 ,5.9, 13.2
"Musselshell County, Montana(6)",30065,Rural,39.4 ,21.2, 70.3,N/A , N/A , N/A,3,*,*,*,*
"Trimble County, Kentucky(7)",21223,Rural,39.2 ,22.8, 63,N/A , N/A , N/A,4,rising,4.5 ,1.0, 9.2
"Lamoille County, Vermont(6)",50015,Rural,39.2 ,30, 50.5,N/A , N/A , N/A,13,stable,0.9 ,-2.0, 4.2
"Belknap County, New Hampshire(6)",33001,Rural,39.2 ,33.4, 45.8,N/A , N/A , N/A,37,stable,2.1 ,-0.6, 5.4
"Carteret County, North Carolina(6)",37031,Rural,39.2 ,33.5, 45.7,N/A , N/A , N/A,41,stable,1.8 ,-1.1, 5.1
"Rock County, Minnesota(6)",27133,Urban,39.1 ,24.1, 60.2,N/A , N/A , N/A,5,*,*,*,*
"Weber County, Utah(7)",49057,Urban,39.1 ,35.6, 42.8,N/A , N/A , N/A,96,falling,-7.8 ,-13.8, -1.9
"Chippewa County, Minnesota(6)",27023,Rural,39.1 ,25.4, 57.5,N/A , N/A , N/A,6,*,*,*,*
"Chittenden County, Vermont(6)",50007,Urban,39 ,35, 43.4,N/A , N/A , N/A,73,rising,1.8 ,0.3, 3.5
"Tooele County, Utah(7)",49045,Urban,38.9 ,31.7, 47.3,N/A , N/A , N/A,22,rising,3.1 ,1.7, 5.6
"Nevada County, California(7)",06057,Rural,38.9 ,34.3, 43.9,N/A , N/A , N/A,66,rising,2.9 ,1.6, 4.4
"Cherokee County, Iowa(7)",19035,Rural,38.7 ,25.8, 56.6,N/A , N/A , N/A,7,*,*,*,*
"Kiowa County, Oklahoma(6)",40075,Rural,38.7 ,22.8, 61.8,N/A , N/A , N/A,4,*,*,*,*
"Butts County, Georgia(7)",13035,Urban,38.7 ,28.9, 50.9,N/A , N/A , N/A,11,rising,6.1 ,2.8, 11.3
"Monroe County, Ohio(6)",39111,Rural,38.7 ,26.1, 55.5,N/A , N/A , N/A,7,rising,6.6 ,2.4, 12.1
"Henry County, Alabama(6)",01067,Urban,38.7 ,27.8, 52.8,N/A , N/A , N/A,10,*,*,*,*
"Day County, South Dakota(6)",46037,Rural,38.6 ,20.5, 67.8,N/A , N/A , N/A,3,stable,1.0 ,-5.5, 8.5
"Clay County, South Dakota(6)",46027,Rural,38.6 ,24.2, 58.5,N/A , N/A , N/A,5,*,*,*,*
"Manatee County, Florida(6)",12081,Urban,38.6 ,36.3, 41.1,N/A , N/A , N/A,257,rising,5.5 ,4.0, 7.6
"Flathead County, Montana(6)",30029,Rural,38.6 ,33.8, 43.9,N/A , N/A , N/A,53,stable,-8.5 ,-18.0, 1.6
"Duchesne County, Utah(7)",49013,Rural,38.6 ,26.4, 54.2,N/A , N/A , N/A,7,*,*,*,*
"Kauai County, Hawaii(7)",15007,Rural,38.5 ,33, 44.7,N/A , N/A , N/A,40,rising,11.8 ,5.5, 28.0
"Ogle County, Illinois(7)",17141,Rural,38.5 ,31.9, 46.1,N/A , N/A , N/A,26,rising,3.8 ,1.8, 6.4
"Tazewell County, Illinois(7)",17179,Urban,38.5 ,34.2, 43.1,N/A , N/A , N/A,64,rising,9.1 ,5.0, 18.0
"Salt Lake County, Utah(7)",49035,Urban,38.4 ,36.8, 40.2,N/A , N/A , N/A,413,stable,-0.8 ,-4.2, 1.1
"Kingsbury County, South Dakota(6)",46077,Rural,38.3 ,20.5, 67.2,N/A , N/A , N/A,3,*,*,*,*
"Grafton County, New Hampshire(6)",33009,Rural,38.3 ,33.4, 43.7,N/A , N/A , N/A,51,stable,-0.3 ,-2.7, 2.4
"Manistee County, Michigan(6)",26101,Rural,38.2 ,28.8, 50,N/A , N/A , N/A,14,rising,16.9 ,3.0, 44.7
"Lyon County, Nevada(6)",32019,Urban,38.2 ,32, 45.3,N/A , N/A , N/A,31,rising,7.6 ,4.0, 14.0
"Hancock County, Maine(6)",23009,Rural,38.2 ,31.5, 45.9,N/A , N/A , N/A,28,rising,2.4 ,0.2, 4.9
"Park County, Wyoming(6)",56029,Rural,38.2 ,29.3, 49,N/A , N/A , N/A,15,stable,3.1 ,-0.5, 7.6
"Geauga County, Ohio(6)",39055,Urban,38.1 ,33.2, 43.6,N/A , N/A , N/A,50,rising,5.2 ,2.9, 8.0
"Daviess County, Kentucky(7)",21059,Urban,38.1 ,33.2, 43.5,N/A , N/A , N/A,47,rising,3.3 ,1.7, 5.2
"Pickens County, South Carolina(6)",45077,Urban,38.1 ,33.6, 43,N/A , N/A , N/A,57,stable,1.6 ,-1.1, 4.8
"Iredell County, North Carolina(6)",37097,Urban,38.1 ,34.4, 42,N/A , N/A , N/A,83,stable,3.6 ,-2.1, 5.7
"Emery County, Utah(7)",49015,Rural,37.9 ,22.6, 59.8,N/A , N/A , N/A,4,*,*,*,*
"Chisago County, Minnesota(6)",27025,Urban,37.9 ,31.3, 45.5,N/A , N/A , N/A,25,rising,6.3 ,3.7, 10.3
"Crow Wing County, Minnesota(6)",27035,Rural,37.8 ,32, 44.5,N/A , N/A , N/A,36,stable,2.7 ,-0.3, 6.2
"Oldham County, Kentucky(7)",21185,Urban,37.8 ,31.6, 44.8,N/A , N/A , N/A,28,rising,3.1 ,1.2, 5.6
"Polk County, Texas(7)",48373,Rural,37.7 ,30.6, 46.1,N/A , N/A , N/A,24,stable,8.7 ,-2.9, 26.8
"Minnehaha County, South Dakota(6)",46099,Urban,37.7 ,33.9, 41.8,N/A , N/A , N/A,78,rising,5.4 ,3.9, 7.2
"Bremer County, Iowa(7)",19017,Urban,37.7 ,28.5, 49.2,N/A , N/A , N/A,12,rising,2.7 ,1.0, 5.2
"Jerome County, Idaho(7)",16053,Urban,37.7 ,27.3, 50.7,N/A , N/A , N/A,9,*,*,*,*
"Pike County, Ohio(6)",39131,Rural,37.6 ,28.3, 49.1,N/A , N/A , N/A,12,rising,5.1 ,2.3, 8.7
"Rice County, Minnesota(6)",27131,Rural,37.6 ,31.5, 44.6,N/A , N/A , N/A,29,rising,5.6 ,2.5, 10.1
"Jackson County, Iowa(7)",19097,Rural,37.6 ,27, 51.2,N/A , N/A , N/A,10,*,*,*,*
"Gilmer County, Georgia(7)",13123,Rural,37.6 ,29.7, 47.2,N/A , N/A , N/A,18,stable,2.1 ,-0.2, 5.4
"Sarasota County, Florida(6)",12115,Urban,37.6 ,35.4, 39.9,N/A , N/A , N/A,335,stable,-1.7 ,-12.9, 2.7
